track_played_at,track_id,track_name,track_duration_min,track_popularity,primary_artist,primary_artist_id,album_id,album_name,album_release_year,primary_genre,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,popularity,followers
2021-10-06 18:23:53.248,3tEquyJGXSst4J7yEu493s,Free Myself,2.57,34,anders,6G1yTgvoYsuVb2Ja8cVVJ2,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,canadian contemporary r&b,0.578,0.425,5,-8.825,0,0.0487,0.064,0.0,0.17,0.176,156.008,57,117733
2021-10-06 18:18:15.968,72AK6S3YqO2UNdrhtoN8vu,West Like (feat. Kalan.FrFr),3.02,54,Destiny Rogers,6gezkje7GoJlQbHBgLXHuu,5lkzzFYLVQ4PAjCM32Ef7m,West Like (feat. Kalan.FrFr),2021-05-28,pop,0.726,0.632,1,-6.739,1,0.0424,0.0325,0.0,0.633,0.66,99.948,60,107392
2021-10-06 18:12:34.697,5EfRLrWygW150LFvPmWb4s,Virgin Mary,3.4,38,Jake Hope,44PkBtAQLIQ45IDNop6d78,2bYBmrPtkDzSDDRok9jCYN,Lost Boy,2018-04-03,canadian contemporary r&b,0.805,0.32,6,-11.775,1,0.104,0.642,0.0,0.107,0.421,127.107,39,17734
2021-10-06 18:06:03.179,3vSQzBw0eKr2xmFml65Y7F,Sometimes,3.2,51,Snoh Aalegra,1A9o3Ljt67pFZ89YtPPL5X,7CqQYYERGNSq5xSgTuALLd,FEELS,2017-10-20,alternative r&b,0.694,0.284,7,-12.062,0,0.0641,0.691,0.00846,0.0653,0.223,79.981,70,660285
2021-10-06 18:02:50.947,5q0zxo739jt8HAyo88vNkt,The Devil's in the Details,2.96,52,Mac Ayres,0fTav4sBLmYOAzKuJw0grL,0qQKOuHPlCPKaNgeOh3ytH,Drive Slow,2017-08-11,alternative r&b,0.708,0.507,6,-8.876,0,0.0549,0.117,0.000547,0.101,0.543,76.757,63,426447
2021-10-06 17:59:52.144,1uzVgNkXqQC7hsJhFZ749o,Sonder Son (Interlude),1.67,49,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,5Bp1EX2ypdFnJ5IUyiRl8w,Sonder Son,2017-10-13,dmv rap,0.461,0.303,2,-11.137,1,0.0543,0.746,8.98e-06,0.223,0.099,152.862,79,1819072
2021-10-06 15:53:04.097,21bl9jnt8gKltnNYpOPbhw,Go Go Go,4.09,40,Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,2vnPwMLtMXZWGkKsoylsGt,Exis,2015-07-31,canadian contemporary r&b,0.637,0.365,0,-11.274,1,0.0743,0.209,1.06e-05,0.0944,0.0459,77.958,66,800929
2021-10-06 15:51:24.113,6q8fYYujrQxXckq1tTtqqi,Time's A Wastin,6.68,49,Erykah Badu,7IfculRW2WXyzNQ8djX8WX,3cADvHRdKniF9ELCn1zbGH,Mama's Gun,2000-10-31,afrofuturism,0.673,0.326,11,-10.684,0,0.0878,0.201,0.00144,0.201,0.458,75.387,68,2219915
2021-10-06 15:44:42.985,2ApXqnIWRbN3EzmFpQNcTr,Run This,3.88,36,PLAZA,50Fwc6LYQ2aYsWVN10hhTY,14VpUviKpM4PyuJAoboPxq,SHADOW,2017-06-11,canadian contemporary r&b,0.625,0.677,3,-6.94,0,0.049,0.186,2.59e-05,0.145,0.318,113.941,55,58506
2021-10-06 14:04:07.818,59NdUkl9DPh7JUST60pGQQ,Nothing Easy to Please,4.39,39,PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,2FXGUAESmG5l9YPrzWPvHI,PARTYNEXTDOOR 3 (P3),2016-08-12,pop,0.8,0.505,1,-4.395,0,0.064,0.389,6.83e-06,0.086,0.314,85.728,78,3256316
2021-10-06 14:01:49.632,6IS5jICzNKWWBjKwr7OCHo,Nothing Like Your Touch,3.74,19,Vikter Duplaix,0Ot21Sy0MDkbgacGh22omF,2FPFHVzlXqwJkLbBSXRraY,Bold & Beautiful,2006-09-11,broken beat,0.655,0.381,8,-9.236,0,0.0573,0.592,0.102,0.112,0.565,79.034,29,8345
2021-10-06 13:57:34.948,1JCV7SiJnORJRrPmrbSrPX,Maliblue,2.38,51,FRVRFRIDAY,2jwmP4TgzTGqjCfcXMDayW,5DevOhO1bQEtsJBrfyX9HG,Maliblue,2019-08-27,canadian contemporary r&b,0.648,0.313,7,-11.41,0,0.475,0.884,0.000968,0.0947,0.604,92.594,53,46811
2021-10-06 13:53:24.410,3qE3TfclU8rgCsUpQhq1pM,Changes,2.96,36,anders,6G1yTgvoYsuVb2Ja8cVVJ2,6JA8PoWci8XU2K2CKLpkaP,Twos,2018-03-06,canadian contemporary r&b,0.721,0.245,9,-9.93,1,0.0742,0.0305,0.0,0.331,0.18,124.999,57,117733
2021-10-06 13:50:27.340,0FCpsarVkO6ezhBrPA5mki,Loving Me,2.44,13,Lotus Maat,3984LoNK87dpTkOolTqhaj,3EJnYl9lYcSe7gj7UpufGU,Loving Me,2019-10-04,,0.411,0.66,1,-4.747,0,0.0969,0.0559,1.37e-06,0.0528,0.65,94.639,16,911
2021-10-06 13:46:17.367,1fCz8XdLhSqUZoIpZjpg10,Body Talk,3.45,47,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,6QC8G4HVk9lkbpxugU7ZgF,The Space Between,2017-10-27,alternative r&b,0.789,0.507,6,-8.916,0,0.0754,0.199,0.0,0.0704,0.226,91.979,69,631213
2021-10-06 13:42:49.188,0dYDmow4l5hbPs5E6QLMSC,Runnin' - Interlude,2.3,42,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,34JNly8P6uZRKTGnmmLNAt,You Should Be Here,2015-04-28,dance pop,0.571,0.515,7,-8.93,1,0.445,0.414,0.0,0.121,0.443,133.106,80,5079429
2021-10-06 13:40:31.325,5OiEI7nQ158U8GJqIu8n5z,Memories,4.0,6,Bowtye,0wms98WJkHZ4bT7Cmo7FVe,15DzB3KZMXfo7cpoWXxjJh,Clearly Confused,2021-07-30,,0.604,0.418,11,-10.791,1,0.0518,0.621,0.000443,0.127,0.298,80.021,32,804
2021-10-06 13:36:30.506,3K0r4oPoNucAvwJIfFVYvg,Here For You,4.9,23,SWV,2NmK5FyrQ18HOPXq1UBzqa,2bHrxJQDBQdvow7vktRVUj,Release Some Tension,1997-07-29,dance pop,0.6,0.536,5,-7.103,0,0.0559,0.668,0.0,0.0746,0.457,136.907,63,1388482
2021-10-06 13:31:36.301,01wnVwMajK3jkXF2EOOtaP,We're Alone,4.45,19,Abhi//Dijon,1crlEwxm5dcQjCcgCJEyqg,2hxLUSHHRjiGKUuNuvr7Au,Montana - EP,2016-10-12,alternative r&b,0.36,0.31,9,-14.373,0,0.18,0.443,0.0183,0.0822,0.0745,162.707,39,41464
2021-10-06 13:27:08.411,3W5DfYKOBnpeLmgCyh473u,Sex Calls,2.83,35,Harrison Brome,7oJtghmTMHdQ49zN8uLSob,2kbtsIZRAC5BCI5eJUvSA1,Fill Your Brains,2016-07-15,canadian contemporary r&b,0.555,0.444,11,-8.949,0,0.0412,0.0913,0.000331,0.0858,0.0996,115.983,43,25403
2021-10-06 13:07:08.868,3f40NIMePvTA7GLe2k5fZn,Safe and Sound,4.01,16,Master Soul Boy,05G52WX5mk1SgWBoMJDKbN,09QBW3U7w1AVcUkA4pKzzH,Safe and Sound,2019-10-11,,0.664,0.345,7,-15.07,0,0.159,0.645,0.129,0.362,0.348,79.875,33,5022
2021-10-06 13:03:08.149,0PXp9QxBfSKGGpWUNaws2X,Drama (feat. Drake),4.2,74,Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,2vnPwMLtMXZWGkKsoylsGt,Exis,2015-07-31,canadian contemporary r&b,0.709,0.362,11,-9.814,1,0.055,0.157,0.0,0.109,0.113,122.043,66,800929
2021-10-06 12:58:54.902,4NymlHYXIzso0S1TPWUSid,Under,4.7,44,Sampha,2WoVwexZuODvclzULjPQtm,4fRcYn1zNOHY5LJXuRmJHI,Process,2017-02-03,alternative r&b,0.752,0.533,11,-8.986,0,0.0347,0.149,5.13e-05,0.114,0.461,114.985,62,526495
2021-10-06 12:52:15.767,4b15WZPLEBsoAupocXzbZE,Faithful,2.9,33,anders,6G1yTgvoYsuVb2Ja8cVVJ2,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,canadian contemporary r&b,0.655,0.622,8,-8.077,0,0.0863,0.107,1.47e-06,0.111,0.113,150.028,57,117733
2021-10-06 12:46:54.577,37Rp2VFHtCuZOtjwZyZNQs,Safe and Sound,3.46,24,Hablot Brown,6LtgEnShwvrqAaKohg7skM,49FDNzt740QF2y2nazFsD4,Safe and Sound,2017-09-01,alternative r&b,0.689,0.421,0,-10.17,0,0.0766,0.208,0.00677,0.17,0.44,103.986,48,29188
2021-10-06 12:39:50.047,2ds2LJmbN8YYHS1bOBdzXp,Say Something,3.07,37,Brandy,05oH07COxkXKIMt6mIPRee,09jppw0ufVFDiotrHDMK1w,b7,2020-07-31,dance pop,0.574,0.653,6,-6.245,0,0.0726,0.146,1.36e-06,0.112,0.239,124.123,68,2355141
2021-10-06 12:36:45.772,4qQVKOnZEYWZIHUMRapsVO,Riot,1.74,55,Summer Walker,57LYzLEk2LcFghVwuWbcuS,5SwPxt8aXuenxaIBIbkvpY,CLEAR,2019-01-25,pop,0.58,0.0978,1,-13.519,0,0.332,0.624,0.0,0.112,0.389,170.803,78,2629889
