track_id,track_name,track_duration_min,track_popularity,album_id,album_name,album_release_year,primary_artist,secondary_artists,primary_artist_id,secondary_artists_id,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,popularity,followers,primary_genre,other_genre,secondary_artists_0,secondary_artists_1,secondary_artists_2,secondary_artists_3,secondary_artists_4,secondary_artists_id_0,secondary_artists_id_1,secondary_artists_id_2,secondary_artists_id_3,secondary_artists_id_4,other_genre_0,other_genre_1,other_genre_2,other_genre_3,other_genre_4,other_genre_5,other_genre_6
2Q3jFbyE61mCjS3SkW4toJ,Race My Mind,4.5,84,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,Drake,,3TVXtAsR1Inumwj472S9r4,,0.488,0.635,10,-7.19,1,0.26,0.179,8.16e-06,0.156,0.783,174.072,100,57226391,canadian hip hop,"canadian pop, hip hop, pop rap, rap, toronto rap",,,,,,,,,,,canadian pop, hip hop, pop rap, rap, toronto rap,,
0T56FSDWcKwWfXy2MXAzZG,In My Corner,3.14,53,3wdfgwqVQT0aJTJsqifubF,Aura III,2021-04-09,ELHAE,,6TrQLQR8tUluPbmdPy6jqY,,0.678,0.47,1,-7.306,1,0.235,0.258,0.0,0.175,0.272,89.992,52,171292,alternative r&b,"chill r&b, indie r&b, pop r&b, r&b, trap soul",,,,,,,,,,,chill r&b, indie r&b, pop r&b, r&b, trap soul,,
59rtiYOPgMEDf3yPEfU2la,Still Tippin' (feat. Slim Thug and Paul Wall),4.52,63,1YU3MPIMY9rZOE899khVj2,Who Is Mike Jones?,2005-04-19,Mike Jones,"Paul Wall, Slim Thug",5EGznFfd2pbt6LphK9eLWj,"0k7Xl1pqI3tu8sSEjo5oEg, 0st5vgzw9XkH5ALJiUM1lE",0.86,0.861,6,-7.131,0,0.307,0.0361,4.07e-05,0.113,0.79,143.184,56,9988,dirty south rap,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap",Paul Wall, Slim Thug,,,,0k7Xl1pqI3tu8sSEjo5oEg, 0st5vgzw9XkH5ALJiUM1lE,,,,gangster rap, hip hop, pop rap, rap, southern hip hop, trap,
5Aca0zwTNPwKrVUGOwrRJj,Keep Moving,4.65,47,1BFl2k9tZL0Jm6ebJHGQ5K,ALPHA,2021-07-09,Charlotte Day Wilson,,3GQboECxDT1xqPPWC30p7v,,0.782,0.478,6,-7.585,0,0.0392,0.424,0.0188,0.104,0.339,120.007,61,167726,alternative r&b,"canadian contemporary r&b, indie r&b, indie soul, neo soul",,,,,,,,,,,canadian contemporary r&b, indie r&b, indie soul, neo soul,,,
6rTInqW3YECMkQsBEHw4sd,Solid (feat. Drake),3.59,79,3ihwKkIMJWmmp1huNH0iWC,Slime Language 2,2021-04-16,Young Stoner Life,"Young Thug, Gunna, Drake",1xr2G8Hlx4QWmT9HaUbmoO,"50co4Is1HCEo8bhOyUWKpn, 2hlmm7s2ICUX0LVIhVFlZQ, 3TVXtAsR1Inumwj472S9r4",0.887,0.485,11,-9.358,0,0.2,0.0392,0.0,0.141,0.328,125.987,73,61737,rap,trap,Young Thug, Gunna, Drake,,,50co4Is1HCEo8bhOyUWKpn, 2hlmm7s2ICUX0LVIhVFlZQ, 3TVXtAsR1Inumwj472S9r4,,,trap,,,,,,
6QbeENFPqF0p4Em5hnJIAm,Space + Time,4.08,17,3b0bjVkhIg2RMkdkTmZneH,Dry Creek Rd,2020-10-23,Mack Keane,,7fNI5DhplKeFCErRvzRCVO,,0.57,0.715,7,-6.102,1,0.0901,0.694,6.89e-05,0.146,0.332,119.941,36,4461,alternative r&b,indie r&b,,,,,,,,,,,indie r&b,,,,,,
2QsZVnbWVSjKMXK6K3uRBL,U Remind Me,4.45,70,6k16WXh4rKyusIoN00rmpi,8701,2001-08-07,Usher,,23zg3TcAtWQy7J6upgbUnj,,0.657,0.629,6,-4.938,1,0.0782,0.194,0.0,0.254,0.726,93.985,81,9019581,atl hip hop,"dance pop, pop, r&b, south carolina hip hop, urban contemporary",,,,,,,,,,,dance pop, pop, r&b, south carolina hip hop, urban contemporary,,
42m3eP1JJhtzffal9B136J,7am On Bridle Path,3.99,84,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,Drake,,3TVXtAsR1Inumwj472S9r4,,0.724,0.531,5,-4.108,0,0.298,0.225,0.0,0.11,0.141,89.901,100,57226391,canadian hip hop,"canadian pop, hip hop, pop rap, rap, toronto rap",,,,,,,,,,,canadian pop, hip hop, pop rap, rap, toronto rap,,
1bHPt3yJY415tlTzYsdLev,SAVE YOURSELF,1.98,50,57ttk3xzHMWLr6CGrEa8F3,TEMPORARY HIGHS IN THE VIOLET SKIES,2021-07-09,Snoh Aalegra,,1A9o3Ljt67pFZ89YtPPL5X,,0.495,0.307,0,-11.861,1,0.0697,0.812,0.000287,0.0997,0.311,118.505,70,650893,alternative r&b,"chill r&b, indie r&b, indie soul, pop, r&b, scandinavian r&b, swedish soul",,,,,,,,,,,chill r&b, indie r&b, indie soul, pop, r&b, scandinavian r&b, swedish soul
3kaSOupDw2AR0N4c4jtezL,Slippery (feat. DESTIN CONRAD),2.65,46,7w7yKT2knVpraNDX4Wzb8J,Slippery (feat. DESTIN CONRAD),2021-04-09,Phabo,DESTIN CONRAD,5FdZDr2bMbEcnsEKRgO3rn,4jwROPSUkTkohLCRiyjiZZ,0.709,0.652,1,-5.583,0,0.1,0.265,3.36e-06,0.258,0.623,115.963,47,6532,alternative r&b,"chill r&b, indie r&b, trap soul",DESTIN CONRAD,,,,,4jwROPSUkTkohLCRiyjiZZ,,,,,chill r&b, indie r&b, trap soul,,,,
