track_played_at,track_id,track_name,track_duration_min,track_popularity,album_id,album_name,album_release_year,primary_artist,secondary_artists,primary_artist_id,secondary_artists_id,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,popularity,followers,primary_genre,other_genre,secondary_artists_0,secondary_artists_id_0,other_genre_0,other_genre_1,other_genre_2,other_genre_3,other_genre_4,other_genre_5,other_genre_6,other_genre_7,other_genre_8
2021-10-06 13:53:24.410,3qE3TfclU8rgCsUpQhq1pM,Changes,2.96,36,6JA8PoWci8XU2K2CKLpkaP,Twos,2018-03-06,anders,,6G1yTgvoYsuVb2Ja8cVVJ2,,0.721,0.245,9,-9.93,1,0.0742,0.0305,0.0,0.331,0.18,124.999,57,117733,canadian contemporary r&b,"canadian hip hop, pop r&b, r&b, toronto rap, trap soul",,,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,,,,
2021-10-06 13:50:27.340,0FCpsarVkO6ezhBrPA5mki,Loving Me,2.44,13,3EJnYl9lYcSe7gj7UpufGU,Loving Me,2019-10-04,Lotus Maat,,3984LoNK87dpTkOolTqhaj,,0.411,0.66,1,-4.747,0,0.0969,0.0559,1.37e-06,0.0528,0.65,94.639,16,911,,,,,,,,,,,,,
2021-10-06 13:46:17.367,1fCz8XdLhSqUZoIpZjpg10,Body Talk,3.45,47,6QC8G4HVk9lkbpxugU7ZgF,The Space Between,2017-10-27,Majid Jordan,,4HzKw8XcD0piJmDrrPRCYk,,0.789,0.507,6,-8.916,0,0.0754,0.199,0.0,0.0704,0.226,91.979,69,631213,alternative r&b,"canadian contemporary r&b, pop, r&b, trap soul",,,canadian contemporary r&b, pop, r&b, trap soul,,,,,
2021-10-06 13:42:49.188,0dYDmow4l5hbPs5E6QLMSC,Runnin' - Interlude,2.3,42,34JNly8P6uZRKTGnmmLNAt,You Should Be Here,2015-04-28,Kehlani,,0cGUm45nv7Z6M6qdXYQGTX,,0.571,0.515,7,-8.93,1,0.445,0.414,0.0,0.121,0.443,133.106,80,5079429,dance pop,"pop, r&b",,,pop, r&b,,,,,,,
2021-10-06 13:40:31.325,5OiEI7nQ158U8GJqIu8n5z,Memories,4.0,6,15DzB3KZMXfo7cpoWXxjJh,Clearly Confused,2021-07-30,Bowtye,Insightful,0wms98WJkHZ4bT7Cmo7FVe,0iq8RFnJPaAzjxStLi9Y9z,0.604,0.418,11,-10.791,1,0.0518,0.621,0.000443,0.127,0.298,80.021,32,804,,,Insightful,0iq8RFnJPaAzjxStLi9Y9z,,,,,,,,,
2021-10-06 13:36:30.506,3K0r4oPoNucAvwJIfFVYvg,Here For You,4.9,23,2bHrxJQDBQdvow7vktRVUj,Release Some Tension,1997-07-29,SWV,,2NmK5FyrQ18HOPXq1UBzqa,,0.6,0.536,5,-7.103,0,0.0559,0.668,0.0,0.0746,0.457,136.907,63,1388482,dance pop,"girl group, hip hop, hip pop, neo soul, new jack swing, pop, quiet storm, r&b, urban contemporary",,,girl group, hip hop, hip pop, neo soul, new jack swing, pop, quiet storm, r&b, urban contemporary
2021-10-06 13:31:36.301,01wnVwMajK3jkXF2EOOtaP,We're Alone,4.45,19,2hxLUSHHRjiGKUuNuvr7Au,Montana - EP,2016-10-12,Abhi//Dijon,,1crlEwxm5dcQjCcgCJEyqg,,0.36,0.31,9,-14.373,0,0.18,0.443,0.0183,0.0822,0.0745,162.707,39,41464,alternative r&b,,,,,,,,,,,,
2021-10-06 13:27:08.411,3W5DfYKOBnpeLmgCyh473u,Sex Calls,2.83,35,2kbtsIZRAC5BCI5eJUvSA1,Fill Your Brains,2016-07-15,Harrison Brome,,7oJtghmTMHdQ49zN8uLSob,,0.555,0.444,11,-8.949,0,0.0412,0.0913,0.000331,0.0858,0.0996,115.983,43,25403,canadian contemporary r&b,vancouver indie,,,vancouver indie,,,,,,,,
2021-10-06 13:07:08.868,3f40NIMePvTA7GLe2k5fZn,Safe and Sound,4.01,16,09QBW3U7w1AVcUkA4pKzzH,Safe and Sound,2019-10-11,Master Soul Boy,Daniel Dessoy,05G52WX5mk1SgWBoMJDKbN,1rXxZcnErjxIm9G8Kr2G6V,0.664,0.345,7,-15.07,0,0.159,0.645,0.129,0.362,0.348,79.875,33,5022,,,Daniel Dessoy,1rXxZcnErjxIm9G8Kr2G6V,,,,,,,,,
2021-10-06 13:03:08.149,0PXp9QxBfSKGGpWUNaws2X,Drama (feat. Drake),4.2,74,2vnPwMLtMXZWGkKsoylsGt,Exis,2015-07-31,Roy Woods,Drake,7mDU6nMUJnOSY2Hkjz5oqM,3TVXtAsR1Inumwj472S9r4,0.709,0.362,11,-9.814,1,0.055,0.157,0.0,0.109,0.113,122.043,66,800929,canadian contemporary r&b,"canadian hip hop, pop rap, r&b, trap, trap soul",Drake,3TVXtAsR1Inumwj472S9r4,canadian hip hop, pop rap, r&b, trap, trap soul,,,,
2021-10-06 12:58:54.902,4NymlHYXIzso0S1TPWUSid,Under,4.7,44,4fRcYn1zNOHY5LJXuRmJHI,Process,2017-02-03,Sampha,,2WoVwexZuODvclzULjPQtm,,0.752,0.533,11,-8.986,0,0.0347,0.149,5.13e-05,0.114,0.461,114.985,62,526495,alternative r&b,indie soul,,,indie soul,,,,,,,,
2021-10-06 12:52:15.767,4b15WZPLEBsoAupocXzbZE,Faithful,2.9,33,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,anders,,6G1yTgvoYsuVb2Ja8cVVJ2,,0.655,0.622,8,-8.077,0,0.0863,0.107,1.47e-06,0.111,0.113,150.028,57,117733,canadian contemporary r&b,"canadian hip hop, pop r&b, r&b, toronto rap, trap soul",,,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,,,,
2021-10-06 12:46:54.577,37Rp2VFHtCuZOtjwZyZNQs,Safe and Sound,3.46,24,49FDNzt740QF2y2nazFsD4,Safe and Sound,2017-09-01,Hablot Brown,,6LtgEnShwvrqAaKohg7skM,,0.689,0.421,0,-10.17,0,0.0766,0.208,0.00677,0.17,0.44,103.986,48,29188,alternative r&b,"chill r&b, indie r&b, indie soul",,,chill r&b, indie r&b, indie soul,,,,,,
2021-10-06 12:39:50.047,2ds2LJmbN8YYHS1bOBdzXp,Say Something,3.07,37,09jppw0ufVFDiotrHDMK1w,b7,2020-07-31,Brandy,,05oH07COxkXKIMt6mIPRee,,0.574,0.653,6,-6.245,0,0.0726,0.146,1.36e-06,0.112,0.239,124.123,68,2355141,dance pop,"hip hop, hip pop, neo soul, pop, r&b, urban contemporary",,,hip hop, hip pop, neo soul, pop, r&b, urban contemporary,,,
2021-10-06 12:36:45.772,4qQVKOnZEYWZIHUMRapsVO,Riot,1.74,55,5SwPxt8aXuenxaIBIbkvpY,CLEAR,2019-01-25,Summer Walker,,57LYzLEk2LcFghVwuWbcuS,,0.58,0.0978,1,-13.519,0,0.332,0.624,0.0,0.112,0.389,170.803,78,2629889,pop,r&b,,,r&b,,,,,,,,
