songplays_id,track_id,track_name,track_duration,track_is_explicit,track_popularity,track_played_at,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others
36,58T4yPLn4NjBYXfRxeweyM,Woo Baby (feat. Chris Brown),2.6,True,79,2021-08-30 06:46:06,2MlT9dGKoGH2hsfcz7UUXL,Faith,2021,album,Pop Smoke,Chris Brown,0eDvMgVFoNV3TpwtrVCoTj,7bXgB6jMjp9ATFy66eO08Z,0.563,0.672,9,-7.226,0,0.0765,0.359,0.0,0.0972,0.284,93,7070861,brooklyn drill,
37,6BiCjPFN5rM9JPy5eP5mCs,RIP Young,2.6341666666666668,True,71,2021-08-30 06:43:30,6TQ8nqw43uUOWu7Yqp58ko,The House Is Burning,2021,album,Isaiah Rashad,,6aaMZ3fcfLv4tEbmY7bjRM,,0.971,0.677,2,-6.895,1,0.092,0.0476,2.22e-05,0.112,0.58,79,962598,hip hop,"rap, tennessee hip hop, underground hip hop"
38,5YZpdsmpazPtBHFbGN8mon,True Story (feat. Jay Rock & Jay Worthy),3.7777666666666665,True,66,2021-08-30 06:40:51,6TQ8nqw43uUOWu7Yqp58ko,The House Is Burning,2021,album,Isaiah Rashad,"Jay Rock, Jay Worthy",6aaMZ3fcfLv4tEbmY7bjRM,"28ExwzUQsvgJooOI0X1mr3, 7jDblfQQLFAZCKXFfoGZ9Q",0.787,0.616,2,-9.433,0,0.153,0.0142,0.0,0.104,0.313,79,962598,hip hop,"rap, tennessee hip hop, underground hip hop"
39,4JsTX2WkPcdDTWbchQJuko,All Herb (feat. Amindi),3.7407833333333333,True,65,2021-08-30 06:37:04,6TQ8nqw43uUOWu7Yqp58ko,The House Is Burning,2021,album,Isaiah Rashad,Amindi,6aaMZ3fcfLv4tEbmY7bjRM,1xQIR56DxgWYZPUvOLRIua,0.692,0.681,5,-6.623,0,0.302,0.0323,0.00447,0.66,0.525,79,962598,hip hop,"rap, tennessee hip hop, underground hip hop"
40,0VYchQkqpeEyh95D1pWqy2,Wat U Sed (feat. Iamdoechii & Kal Banx),2.9447,True,67,2021-08-30 06:33:19,6TQ8nqw43uUOWu7Yqp58ko,The House Is Burning,2021,album,Isaiah Rashad,"DOECHII, Kal Banx",6aaMZ3fcfLv4tEbmY7bjRM,"4E2rKHVDssGJm2SCDOMMJB, 2TYRz7cFNZNPLUWRijsJNL",0.838,0.634,11,-7.018,1,0.258,0.101,0.13,0.143,0.526,79,962598,hip hop,"rap, tennessee hip hop, underground hip hop"
41,2ns1kl3c5NMvGCt2xVMNlI,Score (feat. SZA & 6LACK),3.349466666666667,True,67,2021-08-30 06:30:22,6TQ8nqw43uUOWu7Yqp58ko,The House Is Burning,2021,album,Isaiah Rashad,"SZA, 6LACK",6aaMZ3fcfLv4tEbmY7bjRM,"7tYKF4w9nC0nq9CsPZTHyP, 4IVAbR2w4JJNJDDRFP3E83",0.5,0.515,7,-8.283,1,0.31,0.442,0.00018,0.0681,0.566,79,962598,hip hop,"rap, tennessee hip hop, underground hip hop"
42,3i9ef14r5QFVbe7b6YdhvU,THIB,2.575283333333333,True,65,2021-08-30 06:27:00,6TQ8nqw43uUOWu7Yqp58ko,The House Is Burning,2021,album,Isaiah Rashad,,6aaMZ3fcfLv4tEbmY7bjRM,,0.71,0.586,1,-7.056,1,0.471,0.081,0.00264,0.0869,0.651,79,962598,hip hop,"rap, tennessee hip hop, underground hip hop"
43,52fHAEdptVW2RHrRmGhfkd,Skippin School,3.8643666666666667,False,0,2021-08-30 06:24:25,1FUtxarElUkpWhOAVTIzF8,Kutthroat,2021,album,Cold Legistics,,7Cb82gITIjWG2iLbZiKd6G,,0.695,0.635,8,-11.341,0,0.0848,0.00327,0.963,0.0698,0.821,3,7,,
44,24wUM7DuWrFb6iL0QW51Kq,Show Discipline,3.6626666666666665,True,41,2021-08-30 06:20:33,0w0pkKJYucpsDacKMKZ3SR,Kiss Tha Game Goodbye,2001,album,Jadakiss,Nas,5pnbUBPifNnlusY8kTBivi,20qISvAhX20dpIbOOzGK3q,0.743,0.899,5,-1.861,0,0.315,0.00823,0.0,0.357,0.599,71,798716,battle rap,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, hip pop, pop rap, rap, trap"
45,488crYdGxAi7RdJxKjEWGb,Ye x4,2.7575166666666666,True,43,2021-08-30 06:16:53,5K6ozqiCW4tCuU9SxzEx0a,Ye x4,2021,album,Blxckie,Nasty C,4pQcWzOMSmmz5DK6TqO2FL,2gzWmhOZhDN6gXL49JW9qj,0.833,0.69,11,-5.394,0,0.381,0.331,0.0,0.189,0.592,51,37800,afro soul,"south african alternative, south african pop, south african trap"
46,3rMyMv8EjKXoPnaRo2hdJN,Stuntin' Like My Daddy - Street,4.454883333333333,True,57,2021-08-30 06:14:07,3DLSu5fxSIaG7Ph8G5YVBp,Like Father Like Son,2006,album,Birdman,Lil Wayne,35sCXuy5gN6Or69rZ9vqBs,55Aa2cqylxrFIXC767Z865,0.71,0.881,5,-6.648,0,0.0398,0.00908,0.0,0.162,0.809,65,856492,dirty south rap,"gangster rap, hip hop, pop rap, rap, southern hip hop"
47,6uX5AhXSMgvkvEg3kgkKtQ,TRINE,3.136,True,7,2021-08-30 06:09:39,0MT5ZX8H4tuT4ltxqzRVUu,STAYED DOWN,2021,album,Marty Valentine,,7JCYYyIBno1eDpBqI436yk,,0.588,0.628,1,-7.506,1,0.134,0.048,0.00011,0.0896,0.828,11,183,,
48,0mYoKqA23wUUj7BTEgNzjg,Shawty (feat. T Pain),4.256883333333334,True,61,2021-08-30 06:06:30,3NoUdjYUcUuRMpOzyapnYW,The Real Testament,2007,album,Plies,T-Pain,3jksrX4oBklxR78ft8gv3j,3aQeKQSyrW4qWr35idm0cy,0.444,0.708,4,-5.926,0,0.126,0.0419,0.0,0.0775,0.26,69,1380839,dirty south rap,"gangster rap, hip hop, miami hip hop, pop rap, rap, southern hip hop, trap, urban contemporary"
49,3SYLoL8KHxdQPYIkfwmUjN,Remote Control,3.310216666666667,False,0,2021-08-30 06:02:14,340MjPcVdiQRnMigrPybZA,Donda,2021,album,Kanye West,,5K4W6rqBFWDnAN6FQUkS6x,,0.792,0.548,4,-7.079,1,0.082,0.0784,7.26e-05,0.167,0.197,94,14824331,chicago rap,rap
50,1aF9TeHZbe6OVo9dtjPuzK,Junya,2.461133333333333,False,0,2021-08-30 05:55:06,340MjPcVdiQRnMigrPybZA,Donda,2021,album,Kanye West,,5K4W6rqBFWDnAN6FQUkS6x,,0.752,0.69,7,-3.948,1,0.0642,0.27,0.0,0.303,0.396,94,14824331,chicago rap,rap
